,index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice
17,75983,"Porque los Negros tienen las palmas y las plantas de los pies Blancas?
Porque cuando dios los estaba pintando les dijo, contra la pared.",1,0,0,1,0,4.4
18,47613,"Cuando una mujer te pregunta cuáles son tus intenciones, sabe que te la quieres coger, pero quiere ver si tienes los huevos de decírselo.",1,1,0,0,0,1.6
19,14869,"HASHTAG   HASHTAG   MENTION HASHTAG   
-Te cuento un chiste machista?
-Pero que dices, si soy mujer.
-Tranquila ,te lo explico.",1,1,0,0,0,3.6
20,36540,Imagínate ser abogada y creer que el aborto es un derecho. 🤡,0,1,0,0,0,3.0
21,79772,Bala bala y más bala. O nos quedamos sin balas o nos quedamos sin negros. No hay otra,0,0,0,1,0,3.8
22,10533,MENTION MENTION Meterle en el culo un tubo caliente y cuando empieze a llorar decirle: PeRo Lo DiSfRuTaStE XD,0,0,1,0,0,3.6
23,79135,A los putos maricones de mierda que citaron esto con candado que vengan con la Main,0,0,1,0,0,3.0
24,14770,"Castilla

¿Que hacen 10.000 negros en castilla...? 
 la mancha

HASHTAG    adiv in anz as  ",1,0,0,1,0,3.6
25,11289,"En la cenicienta un ratón coge un hilo para enhebrarlo, si lo quitas una ratona y le dice esto es cosa de mujeres, creo que Irene Tontero lo ha visto esta película q sn……",0,1,0,0,0,3.0
26,37162,"MENTION MENTION Irregularidades, menas con los cataplines negros.",0,0,0,1,0,2.4
27,37108,MENTION MENTION MENTION MENTION Si les das a cada uno un bocadillo de Nocilla... ¿podría decirse que es una merienda de negros?,1,0,0,1,0,3.6
28,33419,"He visto los 2 capítulos de  Los Anillos Del Poder   y resulta que hay elfos negros y enanos negros. 🤷‍♂️
Bloqueados en honor a Tolkien HDP URL",0,0,0,1,0,3.2
29,53519,"Como buen argentino, nunca renuncio a las cosas, directamente ni intento hacerlas.",1,0,0,1,0,2.2
30,79026,Mientras el mundo está en guerra el inútil del padre apoya a Rusia este pibe haciendo boludeses y payasadas en maricolandia una vergüenza total,0,0,1,0,0,2.6
31,58478,"-Mira mamá, esa mujer está demasiado GORDA -No Jaimito, no le digas así... Es una señora con DISCAPACIDAD HORIZONTAL!",1,1,0,0,1,2.8
32,79791,los negros no se convierten en angeles cuando mueren porque si se ponen alas son murcielagos,1,0,0,1,0,3.0
33,79760,-¿En que se diferencian las pizzas y los judios? -En que las pizzas no gritan cuando las metes en el horno,1,0,0,1,0,4.4
34,41950,tetas de gorda no valen,1,1,0,0,1,2.1
35,42256,"Las mujeres son como las dentaduras, si les das buena comida y te las cepillas a diario te duran toda la vida.",1,1,0,0,0,3.6
36,79627,Alguien de los que defienden a los menas tienen un centro de menas cerca?,0,0,0,1,0,2.6
37,8760,"Me parece que hoy es muy buen día para oprimir.

En las marchas del 8M vandalizan, exigen justicia, igualdad, culpan al género masculino de misoginia, machistas… “Juran cuidarse entre ellas”.

Actos como este sólo denotan que se han convertido en lo que un día juraron destruir. URL",0,1,0,0,0,3.6
38,57620,¿Pur qué no me han nominado a mejor entrenador femenino si entrené a Cristiano?,1,0,1,0,0,2.4
39,79101,que asco los gays de re mierda que vuelvan los milicos,0,0,1,0,0,3.0
40,29715,"MENTION Puf! Se terminó el relato feminista... comenzó la realidad. 
Detrás de relato ideológico, el lenguaje inclusivo, el lobby pro-aborto, hay una realidad que padecemos todos.
Bienvenida!",0,1,0,0,0,2.2
41,12989,¿Por qué las feministas compiten para ver quién dice la tontería más grande? 🤔: URL,0,1,0,0,0,2.8
42,6003,MENTION Le va el tema de negros asesinados en campos de concentración,0,0,0,1,0,3.6
43,79049,"""Es difícil cuando tu madre… -""Puedes ser normal como todo el mundo?, Un macho como tu padre?""",0,0,1,0,0,3.8
44,1849,"Durante años hicieron campañas de inclusión e igualdad y muchos se tragaron el cuento. Ojalá que con esto se den cuenta que con el dinero baila el mono.
Pero si aún no captan, pueden disfrutar de nuevo el mes del orgullo el 2023. URL",0,0,1,0,0,1.8
45,79563,"Os voy a contar mi problema con un inmigrante... Paso delante de mí, se me quedó mirando, yo lo miré con mala cara y no pasó nada... Ya han llegado a Valladolid 🤣🤣🤣 Acompañadme para más historias de terror como esta 😭😭😭😂😂😂 Putos inmigrantes que miran con odio.",0,0,0,1,0,2.8
46,19940,"Un aliade asumiendo que las mujeres no tienen capacidad de decisión.

¡Qué sorpresa! 😮 URL",0,1,0,0,0,2.4
47,18327,Mas de lo mismo jajajajajajajajajajajaja me bardean feministas por ser provida y ahora los provida por creer en el machismo. ESTOY ESTALLADA JAJAJAJAJAJAJAJAJA URL,0,1,0,0,0,2.6
48,2523,Algunos negros son más españoles que los lenguamilenarios URL,0,0,0,1,0,1.6
49,61638,"—Mi amor, ¿qué me darás en mi cumpleaños?
—¿Ves ese vestido azul de allá?
—¡Awww Siiii!
—Ah, pues una escoba del mismo color.",1,1,0,0,0,3.8
50,36709,"-Cómo te gusta el vino? 
-Como las mujeres, en mi sótano y de tres años

HASHTAG    Yo Me Quedo En Casa   HASHTAG  ",1,1,0,0,0,4.6
51,11659,"Huevona fome, mala y horrible...cara de travesti URL",0,0,1,0,0,3.4
52,79132,Calla puto maricón,0,0,1,0,0,3.0
53,79064,"El comandante Castro los llamaba mariconsonsones, que es más cariñoso, y los mandaba fusilar que es más ecológico.",1,0,1,0,0,3.6
54,40710,"MENTION Asco de periodismo.
Omitís que también es transfoba porque no os habéis molestado en buscar lo que es ""ser un come travas"".

La canción del mundial 🇶🇦 URL",0,0,1,0,0,3.0
55,46993,Llega una señora muy fea a una tienda y dice a Pepito: -Dame una escoba. -¿Se la envuelvo o se va a ir en ella?  fb  ,1,1,0,0,0,3.4
56,11468,Xabi gitano hijloputa,0,0,0,1,0,2.6
57,35634,MENTION MENTION Puta que asco un trans,0,0,1,0,0,4.4
58,9196,"MENTION chinos haciendo cosas de chinos, tan pronto te lian una pandemia como se ponen a jugar en la azotea a 30 pisos de altura. ojo parecen los edificios de foxcomm que estan abandonando",0,0,0,1,0,2.8
59,13497,"Primero Ricky Martín y ahora Maribel Domínguez, una lesbiana y un homosexual; ambos acusados de acoso sexual sobre menores.

-Lo diré hasta el hartazgo: la homosexualidad es una enfermedad.",0,0,1,0,0,4.8
60,6399,"Recordando a una mujer queer de las tradicionales (las del 'subversivismo' que critica Julia Serano) que a mí me veía 'demasiado transexual para ser queer', pero une amigue marika que nunca se ha interesado por las hormonas 'no es lo suficientemente queer'. No podemos ganar, eh.",0,0,1,0,0,3.4
61,7718,"MENTION MENTION MENTION MENTION La siguiente vez pedi derechos para el cuidado de los Demonios de Tazmania aunque no hayan en la Argentina pero bueno asi es el feminismo, cagados de hambre y inflados pero pedimos dinero para pelotudeces de gran peso 🤔",0,1,0,0,0,2.0
62,17898,Hoy va a ser un día maravilloso (este tweet solo lo pueden ver las putas),1,1,0,0,0,3.4
63,79536,"Y vagos grandes también. Decía San Pablo: ""el que quiera comer que trabaje"". Ya tenemos bastantes vagos nativos para alimentar, como para recibir vagos delincuentes extranjeros y alimentarlos también, sin que den mal palo al agua.
Ahora me tachaís de xenófobo...",0,0,0,1,0,3.4
64,62360,"Un negro a estudiar derecho: -Señor, q rama va a escoger? -Ninguna rama, hijoeputa, pupitre como a todos!",1,0,0,1,0,2.8
65,27901,"Hay dos cosas infinitas: el universo y la estupidez de las feminazis. Y del universo no estoy seguro. 

Alguien debería hablarles del complejo de Edipo y de Electra. URL",0,1,0,0,0,3.8
66,23944,"MENTION MENTION La diferencia es que las jovencitas de 20 años huían de los viejos verdes y ahora las mismas y mayores buscan un sugar daddy que les mangenga a cambio de sexo y compañia.

Meretrices creo que se les llama. El feminismo ha creado una nueva casta de ellas.",0,1,0,0,0,3.6
67,4052,"Cuando yo era pequeña quería ser un chico como mi hermano. Por suerte no había una ley ""trans"" que me impidiera crecer y desarrollarme.
Dejad de jugar con la biología.",0,0,1,0,0,4.0
68,79533,"dejamos marchar a los jóvenes médicos, enfermeros...y aplaudimos los jóvenes delincuentes que nos entran. No señor, esto no es racismo, es una realidad.",0,0,0,1,0,3.4
69,34112,Las feministas odian mas a la mujer provida que al hombre machista,0,1,0,0,0,3.4
70,7510,maricon con purpurina URL,0,0,1,0,0,1.8
71,37464,"MENTION Las feminostas me dan lastima y verguenza ajena, odian a mi genero sin razon alguna",0,1,0,0,0,2.6
72,24765,"HASHTAG   HASHTAG   MENTION HASHTAG   
-Te cuento un chiste machista?
-Pero que dices, si soy mujer.
-Tranquila ,te lo explico.",1,1,0,0,0,3.6
73,28164,MENTION Yo voy a votar al que se estampe contra el negro,0,0,0,1,0,4.4
74,79052,"-Hijo ers maricon? -No papa, soy una princesa",1,0,1,0,0,3.2
75,79716,"Mis hijas me han pedido que les pase la agenda España de VOX. También me dicen que la mayoría de sus amigos los van a votar .Hay mucha esperanza. Lo malo de todo esto es que su voto va a contar igual que ,el de los inmigrantes ilegales que nos está metiendo el psicópata",0,0,0,1,0,2.2
76,47272,"—Mamá soy fea? 
—No hija, tienes lo q cualquier hombre desea  
—En serio?
—Si, tienes voz gruesa, espalda ancha y pelos en el pecho. HASHTAG  ",1,1,0,0,0,3.2
77,61967,"Lo malo de ser mujer:
—Cólicos, menstruación, bipolaridad, cambios hormonales, celos.
Lo malo de ser hombre:
—Tener que aguantar todo eso.",1,1,0,0,0,3.6
78,78967,"homofóbico jamas, porque ""fobia"" es miedo y el miedo es de puto, maricón...",1,0,1,0,0,3.8
79,79034,"cada vez que un gay le dice ""bro"" a otro muere un unicornio",1,0,1,0,0,2.0
80,2019,"De regreso de la modista

La esposa vuelve a casa con un magnifico vestido nuevo
 ?como? grita el marido, ?estas loca para haber echo ese gasto? ?no sabes que estoz al borde de la quiebra? si, querido, lo se; pero la modista todavia no lo sabe..

HASHTAG    dinero  ",1,1,0,0,0,2.4
81,1534,"Como a cambiado el cuento

Va caperucita por el boske larala larala, se encuentra con el lobo
 ?a dnd vas caperucita? le pregunta el lobo a lavarme el coño al rio responde caperucita vaza, pues como a cambiado el cuento añade el lobo 

HASHTAG    varios  ",1,1,0,0,0,2.4
82,3639,"En mi mundo woke, las mujeres y los hombres son iguales porque ninguna mujer es inferior al hombre, salvo que quieran ser guardias civiles y puedan ser un 15% peor que los hombres gracias al mero hecho de ser mujer. URL",0,1,0,0,0,3.4
83,80004,"Soy antifeminista porque el feminismo no busca proteger a la mujer, sino imponer su agenda ideológica de odio.",0,1,0,0,0,2.6
84,27955,"Y repito este tweet, Muy lindo tu feminismo, lástima que
te rías del físico de otra mujer, te
burles de la que es engañada y sales
con hombres que tienen novia o
esposa!!",0,1,0,0,0,3.0
85,47861," ¡Señorita!¡Eh, usted, la rubia!
- ¿Si, es a mi?
- ¡Le comunicamos que su avión viene demorado!.
- Hay qué lindo, ese es mi color favorito.",1,1,0,0,0,2.2
86,8936,"MENTION Más chiringuitos feminazis.

 STOPFEMINAZIS   URL",0,1,0,0,0,3.4
87,2071,"Chocolate para negros

¿Por que los negros llevan guantes blancos? para no morderse los dedos, si comen barras de chocolate

HASHTAG    comida  ",0,0,0,1,0,3.0
88,79461,"Como las pupilas de una mujer maltratada, todo lo que escriba acaba por transmitir drama",0,1,0,0,0,3.2
89,59938,"Los hombres modernos lavan, planchan y cocinan. Las mujeres modernas son las que se consiguen a esos pendejos.",1,1,0,0,0,2.4
90,13190,"«No me importaría que la homosexualidad fuera una enfermedad si los lunes pudiera decirle a mi jefe que no curro porque ""estoy muy maricón""».

MENTION. 2022. Twitter. 2ª ed.

URL URL",0,0,1,0,0,3.4
91,79353,"Se que me van a funar pero… 
Las mujeres a la cocina 
Las mujeres tienen que limiar 
Los hombres tenemos que ganarles 
Mujeres no nos ganarán",0,1,0,0,0,4.0
92,13948,La cara de travesti ..se nos va...la cero aporte...ojalá no vuelva nunca más..fresca a raja URL,0,0,1,0,0,3.0
93,16264,"¿Cuántas feministas hacen falta para cambiar un foco?
Ninguna, las feministas no pueden cambiar nada. HASHTAG   HASHTAG  ",1,1,0,0,0,3.0
94,79288,Ser mujer es pasarse la vida en modo fácil con trucos. Antes al menos mientras el hombre iba a palmar a un lugar frío y perdido de la mano De Dios la mujer cuidaba la familia.Ahora el hombre sigue yendo a la guerra y la minita lee el Horóscopo y odia el ManspreadingJodeme menos,0,1,0,0,0,3.4
95,56072,"Dios lo sabe todo , mi mujer lo comenta.. HASHTAG    frases  ",1,1,0,0,0,2.2
96,79252,Una típica  Feminazi   en acción y un inteligente hombre ignorandola!,0,1,0,0,0,3.2
97,35996,sí hay mujeres pero son súper retraídas y orgullosas vieran qué triste es xd URL,0,1,0,0,0,2.4
98,79263,Después de gastar tanto dinero en chiringuitos feminazis creo que lo más sensato sería mandar a todas las feminazis desplegadas a Ucrania. A ver si hacen algo útil por el país.,0,1,0,0,0,3.6
99,79428,LAS MUJERES A FREGAR,0,1,0,0,0,3.6
100,79276,"Comparte a la mamá fit de la suerte, para que esté 2022 tengas un cuerpazo y no andes de  Feminazi  .",1,1,0,0,0,3.2
101,42213,"No se aburren de copiar los mismos guiones en todos los programas para niños? Uffff 🙄

Peppa pig, famosa serie para niños que se transmite en 180 países del mundo, presentó esta semana una pareja de lesbianas en un episodio titulado “FAMILIAS ” 🤡🤡",0,0,1,0,0,2.6
102,23680,Luego encontrará un moro y se pondrá el trapo URL,0,0,0,1,0,2.4
103,3301,"MENTION MENTION Se les olvidó que es moro.

Ya se ha filtrado en algunos medios.",0,0,0,1,0,3.2
104,32228,"No se burlen de los homosexuales, ha de ser muy feo tener esa enfermedad.",0,0,1,0,0,4.8
105,997,"MENTION dejen a anya en paz culeros, putos gordos diabéticos",0,0,0,0,1,4.0
106,27035,"O sea, que además de llenar las calles de peligrosos depredadores, vuestra ley equipara al baboso que toca un culo en una discoteca con los violadores de la niña de Igualada. Es mucho peor de lo que todo el mundo imagina. URL",0,1,0,0,0,2.4
107,79907,Tengo dos dias escuchando BTS por un trabajo y ya quiero comerme un perro,0,0,0,1,0,3.0
108,25133,"MENTION Que futuro? Nuestros hijos se van a buscarlo a otro países, mientras tú acoges ilegales  y le garantizas  ese futuro que a los  nuestros les quitas. Sinvergüenza.",0,0,0,1,0,2.8
109,40926,Está gorda inmunda..no puede llegar ahí...zurda asquerosa... URL,0,0,0,0,1,3.8
110,79769,Imagino así ahora mismo a gente q trabaja a 4 € la hora y q dicen q la culpa es de los putos inmigrantes,0,0,0,1,0,3.0
111,25978,"MENTION MENTION A todos nos preocupa la violencia contra las  Mujeres   y a muy pocos nos importa la ejercida contra los hombres, a pesar de ser 9 veces mayor!

La violencia no tiene genero! Mientras se parta de diagnósticos falaces cualquier  Politica Publica   con ""perspectiva de genero"" fallara... URL",0,1,0,0,0,2.4
112,42495,"MENTION Me importa un pito de quien te lo esperarias jajajajaja. Si crees q llamarme feminista es rebajarme, te comento que me siento mas fuerte que nunca🤪 llamame feminista, feminazi, etc, yo se bien que solo soy una mujer muy fuerte en sus convicciones. Saludos.",0,1,0,0,0,1.6
113,69089,"Tu mamá es taaan taan obesa, que cuando pasa frente a la TV... te pierdes como 5 comerciales.  fb  ",1,0,0,0,1,3.6
114,30388,"¿Porqué los negros son zurdos?
Porque no tienen derechos. HASHTAG   HASHTAG  ",1,0,0,1,0,3.6
115,79298,"Para todas las feminazis que andan con la frase ""están matando inocentes""🖕🖕 
Ucrania
Araucania
Valdebenito
Rusia",0,1,0,0,0,3.2
116,23626,MENTION MENTION Pero cuando te estan culiando no te quejas gorda trola,0,0,1,0,1,1.9
117,41693,"Las feministas son más pelotudas que lo que la gente cree.

MENTION fue la peor ministra de economía de este siglo, y solo duró 20 días. ¿Que me importa si es un hombre afeminado o una mujer incogible? URL",0,1,0,0,0,3.4
118,58039,"A las mujeres les gusta hacer dramas cuando están deprimidas, celosas, tristes, alegres, con hambre, sueño, frío o cuando respiran.",1,1,0,0,0,3.8
119,5382,MENTION Que ganas de follarme a alguien que se esté follando a un maricon.,0,0,1,0,0,2.6
120,79084,"Damarysdolls aquí hay una bi, un gay, una lesbiana, y yo, que soy normal.  comentarios homo fobos  ",0,0,1,0,0,3.8
121,79709,"Yo no soy racista, es mas, si tubiera dinero me compraria unos cuantos negros...",1,0,0,1,0,4.8
122,79250,Me suda la polla las putas feministas hermano que asco dan,0,1,0,0,0,3.6
123,79537,"""Ni muertos somos hombres, personas, seres humanos…Siempre inmigrantes""",0,0,0,1,0,3.2
124,92084,Cuenta la leyenda que metrovalencia era blanco URL,1,0,0,1,0,1.2
125,24275,"Puf! Se terminó el relato feminista... comenzó la realidad. 
Detrás de relato ideológico, el lenguaje inclusivo y el lobby pro-aborto, hay una realidad que padecemos todos.
Bienvenida! URL",0,1,0,0,0,2.4
126,41969," First Dates 29 o  
Me he subido al Roomba ese para que me llevase a la cocina y me ha dicho, bájate gorda.. URL",1,0,0,0,1,3.4
127,42960,"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",1,1,0,0,0,3.6
128,17850,Amigos las mujeres son vengativas por naturaleza. No diré más.,0,1,0,0,0,3.6
129,39490,MENTION Dicen que te vuelves puto si comes comida china.... ahhh perdón :( demasiado tarde,0,0,0,1,0,1.8
130,6920,"Amigas frminazis: a 15 minutos de Puebla rumbo a Tlaxcala hay un pueblito que se llama Tenancíngo,
famoso por ser de los mayores traficantes de mujeres en el país ¿por
qué no se organizan y llegan a hacer sus desmadres ahí? Imagínense tremendo",0,1,0,0,0,4.0
131,36302,Mi cara cuando me salgo con la mía en una discusión imaginaria con una feminazi. URL,0,1,0,0,0,3.2
132,79526,Los menas a la puta cárcel y después a su puto país. Punto para el equipo antimenas 😁.,0,0,0,1,0,3.6
133,4390,"Papá mata a mamá, delito de odio machista, mamá mata a papá, mujer matratada que se libera de su opresor.
Papá mata a sus hijos, violencia vicaria contra la madre.
Mamá mata a sus hijos, suicidio en dos fases por enajenación mental.
Muy coherente todo.",0,1,0,0,0,3.8
134,79164,No es por ser homófobo pero ser trans es similar a intentar convertir un mini en un 4x4,1,0,1,0,0,3.6
135,26605,"MENTION Ni un tío ni una tía de estos sitios donde los derechos humanos no se respeten por su cultura deben estar aquí ilegalmente, bajo ningún concepto. Y menos delinquiendo, si? 

A su puta casa.",0,0,0,1,0,3.0
136,56434, Mientras Tanto En Un Universo Paralelo   los Chinos nos ven a nosotros todos iguales.,1,0,0,1,0,2.8
137,42818,"MENTION ""Por qué las adolescentes se visten como putas?""

Esta la decía mi ex 😡😡😡",0,1,0,0,0,3.4
138,39466,MENTION Las feministas son las principales culpables de q ahora le esten arruinando la vida a muchos hombres inocentes. La justicia aliada con la ideologia de genero y la agenda 2030,0,1,0,0,0,3.0
139,76887,"- Por que razòn los perros gallegos son chatos ? 
- Es que les da por perseguir a los coches estacionados.",1,0,0,1,0,2.6
140,4282,"Se llama realidad.
Entiendo que las feministas no estáis acostumbrada a ella 😌 URL",1,1,0,0,0,1.8
141,48461,"Una mujer está enojada si:

—No habla.
—Habla sin parar.
—Actúa como si nada pasara.
—Está rara.
—Te insulta.

Y también podría no estarlo.",1,1,0,0,0,3.2
142,79075,"porke me salen homosexuales en mi tl, fuera de acá chris",0,0,1,0,0,2.6
143,24440,"Cienmil millones de chinos en una cabina de telefonos

Estan cienmil millones de chinos en una cabina de telefonos jugando un partido de futbol llega otro chino: ?puedo jugar con vosotros? no, que za somos muchos

HASHTAG    absurd os  ",1,0,0,1,0,2.6
144,4292,"No Nandito, la Iglesia no va a bendecir uniones homosexuales ni a casarte con un hombre nada más porque lo deseas y lloras. Sería como una madre dándole un cuchillo al niño de 2 años porque le lloriquea.",0,0,1,0,0,3.6
145,34668,"""Este día deje el camino del pecado, de las tinieblas, acepté a Cristo y me reforme. Vencí ser gay y me casé."" URL",0,0,1,0,0,3.8
146,79265,No se porqué se rien de las feministas solo por tener bigote y las axilas depiladas. Aún así siguen siendo animales.,0,1,0,0,0,4.4
147,36578,"MENTION He salido con varias que me decían eso al principio ""yo soy como un tío, no tengo cambios de humor sin razón alguna"" y sí, los primeros meses asi era, luego jajajajjajajaja, maaaadre mía, la biología. 😂😂",0,1,0,0,0,3.6
148,40,"MENTION MENTION MENTION Concuerdo contigo en eso, super repugnante qué asco ser lesbiana🤢, prefiero meterme una polla de 25 cm😏",0,0,1,0,0,3.8
149,79389,Las MUJERES PARA TENER VISITAS LO UNICO QUE NECESITAN ES Prostituirse por internet,0,1,0,0,0,3.6
150,79488,Llegar a casa cansado del trabajo y que te reciba tu hijo con una sonrisa sólo es comparable a que te la chupen en un portal.,1,1,0,0,0,1.2
151,12602,¿Saben por qué los hombres homosexuales viven más que los heterosexuales? Porque comen más sano.,1,0,1,0,0,2.0
152,11428,MENTION Los negros no se convierten en ángeles cuando mueren porque si les ponen alas son murciélagos,0,0,0,1,0,3.8
153,36510,MENTION MENTION feministas be like: URL,0,1,0,0,0,1.4
154,79211,"Las mujeres son como los autobuses:unas van, otras vienen ...de noche son menos, però mucho más rápidas.",1,1,0,0,0,3.8
155,58168,"-Amor mi celular tiene una aplicacion q te hace ver fea y gorda.
-enserio amor? como se llama? 
-Camara JAJAJA -Amor no me golpees era broma",1,1,0,0,0,3.4
156,2269,"Las niñitas y señoras sin vida que vais de feministas y que habéis defendido con falacias como ""son sus costumbres"" la imposición del hiyab a otras mujeres, ahora que estáis viendo que están matando a muchas por protestar contra él, ¿no os sentís ratas miserables? Deberíais.",0,1,0,0,0,3.2
157,79133,"Prefiero ser facha a ser un puto maricon de mierda que no tiene donde caerse muerto que no creces chaval, sigues igual de puto niñato que antes cambia un poco hijo que das ya lache",0,0,1,0,0,3.2
158,19083,"Si digo: “Ese inútil no sirve para nada, solo para estorbar”. ¿Dónde está el sujeto? 
— En la comunidad LGBTI.
HASHTAG   HASHTAG  ",1,0,1,0,0,3.6
159,20022,Pasaron del feminismo abortero radical a la militancia antinatalista... qué sigue? URL,0,1,0,0,0,3.4
160,70873,"—Es que Daniela y David se parecen mucho.
—Eso no es excusa Para acostarse con el, James. 
—¯\_(ツ)_/¯  Los Secretos De Familia  ",1,0,1,0,0,1.6
161,79660,"Mi trabajo no puede quedar mal, pero dependo de un grupo de pedantes, ignorantes, irresponsables, malditos negros inmigrantes subhumanos con un agresivo retraso mental.",0,0,0,1,0,3.8
162,79993,Estos chinos están en todo lo que está mal 🤦🏻‍♂️🤦🏻‍♂️,0,0,0,1,0,3.2
163,79071,"""Ay, pero es que deberían pensar primero en prevenir ¿Qué pasa con la educación sexual?""

*Se habla de educación sexual

""¡A mis hijos los educo yo! ¡Marxismo cultural! ¡Ideología de género! ¡El Acuerdo nos va a volver homosexuales! ¡Le están mostrando porno a los niños!""",0,0,1,0,0,2.0
164,79295," Peru Es Provida  
Lo será, no de las feminazis.",0,1,0,0,0,3.2
165,30765,"500 euros

¿Que mide 18 cm
z hacer gritar de placer a una mujer? 
 un billete de 500 euros

HASHTAG    dinero  ",1,1,0,0,0,3.4
166,34526,"La violencia sexual hacia el varón se ignora. Una maestra de secundaria tuvo “algo” con su alumno y pudo convertirse en ""Primera Dama"" de Francia. Si fuese al revés estaría en prisión.

La revolución sexual feminazi premia la agresividad sexual femenina y castiga la masculina. URL",0,1,0,0,0,3.2
167,3762,"MENTION Discursos fuera de lugar, ordinariez y grosería. Eso es el feminismo. Ah, y feas.",0,1,0,0,0,3.0
168,12120,"MENTION MENTION MENTION Solo te digo que habría que diferenciar las nacionalidades, al igual que en las violencias de género, que eso nunca se dice y te sorprenderías",0,0,0,1,0,2.8
169,25547,"-Quién gana una pelea a muerte entre un negro y un gitano? 
-Ganamos todos

HASHTAG   HASHTAG  ",1,0,0,1,0,5.0
170,17853,"¿En qué se parece mi novia a un calendario? 
— En que los dos tienen 12 meses.

HASHTAG   HASHTAG  ",0,1,0,0,0,3.4
171,79007,"No es fácil para un/a padre/medre imaginarse a su hijo varón siendo p3netr4d0 an4lm3nte por otro varón (b4tiend0💩), eso le destroza (además de la imaginación) las ilusiones a cualquier progenitor (aunado a que resulta algo denigrante y humillante para el ego masculino hetero).🤷",0,0,1,0,0,3.8
172,35124,MENTION Las mujeres son en la cocina como son en la cama. URL,1,1,0,0,0,3.8
173,79293,"* empieza la tercera guerra mundial *

- las feminazis",0,1,0,0,0,3.4
174,20075," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION
Van dos negros, un rumano y un moro en un coche. Quien conduce?
La policia",0,0,0,1,0,3.4
175,2785,Xq a las mujeres se vuelven locas con las motos,0,1,0,0,0,2.2
176,6552,"MENTION El feminismo es cáncer, y ella con su ser solo lo confirma.",0,1,0,0,0,3.6
177,31725,MENTION Lo mismo sí! Ojalá vivir en el mundo de los homófobos donde la gente sencillamente se convierte en gay si le susurras ciertas cosas,0,0,1,0,0,2.6
178,19028,Toda la tl de maricones mal vestidos pensando que slayean URL,0,0,1,0,0,2.8
179,79356,evangelinao las mujeres son carnes que se comen pero no se venden  Comentarios Machistas  ,0,1,0,0,0,4.0
